year,co2,ch4,sf6,n2o
1958.25,315.7,,,
1958.333333,317.45,,,
1958.416667,317.51,,,
1958.5,317.24,,,
1958.583333,315.86,,,
1958.666667,314.93,,,
1958.75,313.2,,,
1958.833333,312.43,,,
1958.916667,313.33,,,
1959,314.67,,,
1959.083333,315.58,,,
1959.166667,316.48,,,
1959.25,316.65,,,
1959.333333,317.72,,,
1959.416667,318.29,,,
1959.5,318.15,,,
1959.583333,316.54,,,
1959.666667,314.8,,,
1959.75,313.84,,,
1959.833333,313.33,,,
1959.916667,314.81,,,
1960,315.58,,,
1960.083333,316.43,,,
1960.166667,316.98,,,
1960.25,317.58,,,
1960.333333,319.03,,,
1960.416667,320.04,,,
1960.5,319.59,,,
1960.583333,318.18,,,
1960.666667,315.9,,,
1960.75,314.17,,,
1960.833333,313.83,,,
1960.916667,315,,,
1961,316.19,,,
1961.083333,316.89,,,
1961.166667,317.7,,,
1961.25,318.54,,,
1961.333333,319.48,,,
1961.416667,320.58,,,
1961.5,319.77,,,
1961.583333,318.57,,,
1961.666667,316.79,,,
1961.75,314.99,,,
1961.833333,315.31,,,
1961.916667,316.1,,,
1962,317.01,,,
1962.083333,317.94,,,
1962.166667,318.55,,,
1962.25,319.68,,,
1962.333333,320.57,,,
1962.416667,321.02,,,
1962.5,320.62,,,
1962.583333,319.61,,,
1962.666667,317.4,,,
1962.75,316.25,,,
1962.833333,315.42,,,
1962.916667,316.69,,,
1963,317.7,,,
1963.083333,318.74,,,
1963.166667,319.07,,,
1963.25,319.86,,,
1963.333333,321.38,,,
1963.416667,322.25,,,
1963.5,321.48,,,
1963.583333,319.74,,,
1963.666667,317.77,,,
1963.75,316.21,,,
1963.833333,315.99,,,
1963.916667,317.07,,,
1964,318.35,,,
1964.083333,319.57,,,
1964.166667,320.01,,,
1964.25,320.74,,,
1964.333333,321.84,,,
1964.416667,322.26,,,
1964.5,321.89,,,
1964.583333,320.44,,,
1964.666667,318.69,,,
1964.75,316.7,,,
1964.833333,316.87,,,
1964.916667,317.68,,,
