year,co2_rescale,ch4_rescale,sf6_rescale,n2o_rescale
2001.083333,0.045963913,0.066157262,0,0.009654472
2001.166667,0.06362773,0.063544932,0.00312989,0.010162602
2001.25,0.081481481,0.071316614,0.006259781,0.005081301
2001.333333,0.098955366,0.072557471,0.009389671,0.00050813
2001.416667,0.108072175,0.052050679,0.010954617,0
2001.5,0.096106363,0.020310867,0.010954617,0.00304878
2001.583333,0.063437797,0,0.012519562,0.006605691
2001.666667,0.027350427,0.01012278,0.014084507,0.009654472
2001.75,0,0.050091432,0.018779343,0.015243902
2001.833333,0.005128205,0.083333333,0.021909233,0.024390244
2001.916667,0.030389364,0.090125392,0.026604069,0.033028455
2002,0.058499525,0.08607628,0.029733959,0.038617886
2002.083333,0.082811016,0.074124869,0.031298905,0.041666667
2002.166667,0.095536562,0.065700104,0.034428795,0.043699187
2002.25,0.11320038,0.069749216,0.037558685,0.043191057
2002.333333,0.130104463,0.065373563,0.040688576,0.040142276
2002.416667,0.144159544,0.049307732,0.042253521,0.037601626
2002.5,0.13960114,0.027298851,0.042253521,0.036585366
2002.583333,0.110541311,0.009600313,0.045383412,0.036077236
2002.666667,0.07008547,0.026776385,0.046948357,0.036077236
2002.75,0.049002849,0.071512539,0.050078247,0.038617886
2002.833333,0.045394112,0.101293103,0.053208138,0.044715447
2002.916667,0.077682811,0.109391327,0.057902973,0.051829268
2003,0.107122507,0.110632184,0.062597809,0.057418699
2003.083333,0.127825261,0.096590909,0.0657277,0.05995935
2003.166667,0.142070275,0.078761755,0.067292645,0.0625
2003.25,0.157644824,0.079218913,0.07198748,0.06554878
2003.333333,0.181956315,0.085292581,0.078247261,0.069105691
2003.416667,0.198290598,0.07634535,0.082942097,0.071138211
2003.5,0.192212726,0.058516196,0.084507042,0.072154472
2003.583333,0.162203229,0.051985371,0.086071987,0.074186992
2003.666667,0.118328585,0.075431034,0.087636933,0.077235772
2003.75,0.094966762,0.116509927,0.092331768,0.084349593
2003.833333,0.094396961,0.143286311,0.095461659,0.092479675
2003.916667,0.12345679,0.14707419,0.098591549,0.098069106
2004,0.148717949,0.136167712,0.10172144,0.101626016
2004.083333,0.167711301,0.118338558,0.10485133,0.105182927
2004.166667,0.184425451,0.112395507,0.107981221,0.106199187
2004.25,0.203608737,0.119122257,0.111111111,0.104674797
2004.333333,0.231718898,0.117293626,0.114241002,0.103150407
2004.416667,0.23665717,0.096721526,0.117370892,0.103150407
2004.5,0.218993352,0.062434692,0.117370892,0.102642276
2004.583333,0.17682811,0.034286834,0.118935837,0.102642276
2004.666667,0.148717949,0.045585162,0.122065728,0.104674797
2004.75,0.115669516,0.083268025,0.125195618,0.107215447
2004.833333,0.119468186,0.110632184,0.128325509,0.113313008
2004.916667,0.151756885,0.115726228,0.133020344,0.12449187
2005,0.177397911,0.102272727,0.136150235,0.134654472
2005.083333,0.195441595,0.08868861,0.139280125,0.140243902
2005.166667,0.219753086,0.085161964,0.142410016,0.141260163
2005.25,0.239506173,0.0830721,0.145539906,0.140752033
2005.333333,0.268566002,0.077259666,0.148669797,0.136178862
2005.416667,0.271604938,0.061912226,0.150234742,0.129573171
2005.5,0.267046534,0.038074713,0.150234742,0.12652439
2005.583333,0.239126306,0.022988506,0.151799687,0.129065041
2005.666667,0.201139601,0.034548067,0.154929577,0.135162602
2005.75,0.162393162,0.067789969,0.158059468,0.141768293
2005.833333,0.168091168,0.102795193,0.162754304,0.151930894
2005.916667,0.193732194,0.120624347,0.165884194,0.165142276
2006,0.227350427,0.114615987,0.17057903,0.175813008
2006.083333,0.251471985,0.109456635,0.175273865,0.183943089
2006.166667,0.267046534,0.109064786,0.178403756,0.1875
2006.25,0.275783476,0.09580721,0.181533646,0.18597561
2006.333333,0.312630579,0.087317137,0.184663537,0.182418699
2006.416667,0.320607787,0.079414838,0.187793427,0.181402439
2006.5,0.301994302,0.042515674,0.189358372,0.180386179
2006.583333,0.271794872,0.009273772,0.190923318,0.178861789
2006.666667,0.2328585,0.029323406,0.194053208,0.180894309
2006.75,0.20322887,0.077520899,0.197183099,0.18851626
2006.833333,0.208736942,0.101097179,0.200312989,0.197662602
2006.916667,0.228110161,0.106321839,0.205007825,0.205792683
2007,0.25982906,0.112330199,0.20970266,0.210873984
2007.083333,0.28034188,0.107170846,0.214397496,0.215955285
2007.166667,0.2997151,0.103317659,0.219092332,0.217479675
2007.25,0.312820513,0.114681296,0.223787167,0.212398374
2007.333333,0.349287749,0.119971264,0.226917058,0.207317073
2007.416667,0.350237417,0.108934169,0.230046948,0.209349593
2007.5,0.341690408,0.084182341,0.230046948,0.210365854
2007.583333,0.311301045,0.064393939,0.231611894,0.207317073
2007.666667,0.264007597,0.094370428,0.234741784,0.209349593
2007.75,0.244254511,0.151253918,0.23943662,0.221036585
2007.833333,0.247483381,0.176920063,0.245696401,0.235264228
2007.916667,0.272744539,0.17476489,0.248826291,0.246443089
2008,0.301044634,0.166340125,0.253521127,0.256605691
2008.083333,0.331244065,0.156282654,0.258215962,0.265243902
2008.166667,0.336562203,0.150470219,0.262910798,0.268292683
2008.25,0.340740741,0.15308255,0.266040689,0.268292683
2008.333333,0.360683761,0.157654127,0.269170579,0.268292683
2008.416667,0.388224122,0.146617032,0.273865415,0.270325203
2008.5,0.373219373,0.115922153,0.27543036,0.271341463
2008.583333,0.347008547,0.0973093,0.276995305,0.269817073
2008.666667,0.30351377,0.119514107,0.280125196,0.268292683
2008.75,0.28622982,0.162878788,0.284820031,0.272865854
2008.833333,0.282431149,0.201933124,0.291079812,0.281504065
2008.916667,0.305223172,0.225705329,0.297339593,0.289126016
2009,0.331433998,0.221394984,0.302034429,0.297764228
2009.083333,0.357644824,0.21107628,0.305164319,0.30995935
2009.166667,0.367711301,0.214407001,0.309859155,0.317073171
2009.25,0.393162393,0.217215256,0.312989045,0.31300813
2009.333333,0.406837607,0.214276385,0.316118936,0.304369919
2009.416667,0.418233618,0.193312435,0.317683881,0.298272358
2009.5,0.405698006,0.157980669,0.319248826,0.296747967
2009.583333,0.377967711,0.145114943,0.322378717,0.300304878
2009.666667,0.340930674,0.170323929,0.325508607,0.306910569
2009.75,0.315479582,0.209639498,0.330203443,0.31453252
2009.833333,0.309591643,0.230407524,0.334898279,0.325203252
2009.916667,0.339791073,0.229493208,0.339593114,0.334857724
2010,0.366381766,0.22191745,0.34428795,0.341971545
2010.083333,0.390693257,0.224464472,0.348982786,0.345528455
2010.166667,0.419183286,0.235175026,0.353677621,0.346544715
2010.25,0.437416904,0.239942529,0.358372457,0.347052846
2010.333333,0.462108262,0.240987461,0.359937402,0.348577236
2010.416667,0.472364672,0.228382968,0.363067293,0.350609756
2010.5,0.45660019,0.194814525,0.366197183,0.350609756
2010.583333,0.419183286,0.174503657,0.369327074,0.351626016
2010.666667,0.383665717,0.204676071,0.372456964,0.355182927
2010.75,0.354985755,0.255551202,0.374021909,0.363313008
2010.833333,0.362583096,0.286115465,0.378716745,0.37601626
2010.916667,0.389933523,0.289315569,0.381846635,0.388719512
2011,0.411206078,0.267306688,0.386541471,0.397865854
2011.083333,0.43988604,0.246408046,0.389671362,0.402947154
2011.166667,0.450332384,0.24438349,0.392801252,0.404471545
2011.25,0.464577398,0.249869383,0.397496088,0.404471545
2011.333333,0.476733143,0.262212644,0.402190923,0.403963415
2011.416667,0.495156695,0.264890282,0.405320814,0.403455285
2011.5,0.486419753,0.237983281,0.408450704,0.403455285
2011.583333,0.46305793,0.218456113,0.408450704,0.403455285
2011.666667,0.417663818,0.237068966,0.410015649,0.405995935
2011.75,0.397720798,0.270049634,0.41314554,0.413109756
2011.833333,0.396011396,0.305903866,0.419405321,0.423272358
2011.916667,0.420512821,0.324255486,0.425665102,0.432926829
2012,0.450522317,0.308908046,0.430359937,0.44004065
