average,diff,diff2
4.02,0.02,0.02
4.05,0.03,0.01
4.08,0.03,0
4.1,0.02,-0.01
4.11,0.01,-0.01
4.13,0.02,0.01
4.15,0.02,8.88178E-16
4.18,0.03,0.01
4.19,0.01,-0.02
4.2,0.01,-8.88178E-16
4.21,0.01,0
4.22,0.01,0
4.24,0.02,0.01
4.27,0.03,0.01
4.29,0.02,-0.01
4.31,0.02,-8.88178E-16
4.33,0.02,8.88178E-16
4.35,0.02,-8.88178E-16
4.36,0.01,-0.01
4.36,0,-0.01
4.35,-0.01,-0.01
4.36,0.01,0.02
4.37,0.01,-8.88178E-16
4.38,0.01,0
4.4,0.02,0.01
4.43,0.03,0.01
4.46,0.03,8.88178E-16
4.48,0.02,-0.01
4.5,0.02,-8.88178E-16
4.51,0.01,-0.01
4.53,0.02,0.01
4.55,0.02,-8.88178E-16
4.57,0.02,8.88178E-16
4.58,0.01,-0.01
4.58,0,-0.01
4.59,0.01,0.01
4.62,0.03,0.02
4.65,0.03,0
4.66,0.01,-0.02
4.68,0.02,0.01
4.69,0.01,-0.01
4.71,0.02,0.01
4.73,0.02,8.88178E-16
4.75,0.02,-8.88178E-16
4.76,0.01,-0.01
4.76,0,-0.01
4.77,0.01,0.01
4.78,0.01,8.88178E-16
4.81,0.03,0.02
4.83,0.02,-0.01
4.86,0.03,0.01
4.88,0.02,-0.01
4.89,0.01,-0.01
4.91,0.02,0.01
4.93,0.02,-8.88178E-16
4.95,0.02,8.88178E-16
4.96,0.01,-0.01
4.96,0,-0.01
4.98,0.02,0.02
4.99,0.01,-0.01
5.01,0.02,0.01
5.03,0.02,8.88178E-16
5.06,0.03,0.01
5.09,0.03,8.88178E-16
5.11,0.02,-0.01
5.12,0.01,-0.01
5.15,0.03,0.02
5.19,0.04,0.01
5.22,0.03,-0.01
5.23,0.01,-0.02
5.24,0.01,-8.88178E-16
5.25,0.01,0
5.28,0.03,0.02
5.3,0.02,-0.01
5.32,0.02,8.88178E-16
5.34,0.02,-8.88178E-16
5.36,0.02,8.88178E-16
5.38,0.02,-8.88178E-16
5.4,0.02,8.88178E-16
5.42,0.02,-8.88178E-16
5.44,0.02,8.88178E-16
5.44,0,-0.02
5.45,0.01,0.01
5.47,0.02,0.01
5.49,0.02,8.88178E-16
5.51,0.02,-8.88178E-16
5.54,0.03,0.01
5.56,0.02,-0.01
5.58,0.02,8.88178E-16
5.6,0.02,-8.88178E-16
